Date,Comp,Venue,Result,GF,GA,Opponent,Attendance
2016-08-14,Premier League,Away,W,4,3,Arsenal,60033
2016-08-20,Premier League,Away,L,0,2,Burnley,21313
2016-08-23,EFL Cup,Away,W,5,0,Burton Albion,6450
2016-08-27,Premier League,Away,D,1,1,Tottenham,31211
2016-09-10,Premier League,Home,W,4,1,Leicester City,51232
2016-09-16,Premier League,Away,W,2,1,Chelsea,41514
2016-09-20,EFL Cup,Away,W,3,0,Derby County,26245
2016-09-24,Premier League,Home,W,5,1,Hull City,53109
2016-10-01,Premier League,Away,W,2,1,Swansea City,20862
2016-10-17,Premier League,Home,D,0,0,Manchester Utd,52769
2016-10-22,Premier League,Home,W,2,1,West Brom,53218
2016-10-25,EFL Cup,Home,W,2,1,Tottenham,53051
2016-10-29,Premier League,Away,W,4,2,Crystal Palace,25628
2016-11-06,Premier League,Home,W,6,1,Watford,53163
2016-11-19,Premier League,Away,D,0,0,Southampton,31848
2016-11-26,Premier League,Home,W,2,0,Sunderland,53114
2016-11-29,EFL Cup,Home,W,2,0,Leeds United,52012
2016-12-04,Premier League,Away,L,3,4,Bournemouth,11183
2016-12-11,Premier League,Home,D,2,2,West Ham,53068
2016-12-14,Premier League,Away,W,3,0,Middlesbrough,32704
2016-12-19,Premier League,Away,W,1,0,Everton,39590
2016-12-27,Premier League,Home,W,4,1,Stoke City,53094
2016-12-31,Premier League,Home,W,1,0,Manchester City,53120
2017-01-02,Premier League,Away,D,2,2,Sunderland,46494
2017-01-08,FA Cup,Home,D,0,0,Plymouth Argyle,52692
2017-01-11,EFL Cup,Away,L,0,1,Southampton,31480
2017-01-15,Premier League,Away,D,1,1,Manchester Utd,75276
2017-01-18,FA Cup,Away,W,1,0,Plymouth Argyle,17048
2017-01-21,Premier League,Home,L,2,3,Swansea City,53169
2017-01-25,EFL Cup,Home,L,0,1,Southampton,52238
2017-01-28,FA Cup,Home,L,1,2,Wolves,52469
2017-01-31,Premier League,Home,D,1,1,Chelsea,53157
2017-02-04,Premier League,Away,L,0,2,Hull City,24822
2017-02-11,Premier League,Home,W,2,0,Tottenham,53159
2017-02-27,Premier League,Away,L,1,3,Leicester City,32034
2017-03-04,Premier League,Home,W,3,1,Arsenal,53146
2017-03-12,Premier League,Home,W,2,1,Burnley,53145
2017-03-19,Premier League,Away,D,1,1,Manchester City,54449
2017-04-01,Premier League,Home,W,3,1,Everton,52920
2017-04-05,Premier League,Home,D,2,2,Bournemouth,53292
2017-04-08,Premier League,Away,W,2,1,Stoke City,27568
2017-04-16,Premier League,Away,W,1,0,West Brom,25669
2017-04-23,Premier League,Home,L,1,2,Crystal Palace,53086
2017-05-01,Premier League,Away,W,1,0,Watford,20959
2017-05-07,Premier League,Home,D,0,0,Southampton,53159
2017-05-14,Premier League,Away,W,4,0,West Ham,56985
2017-05-21,Premier League,Home,W,3,0,Middlesbrough,53191
