Player,Pos,Age,90s,SCA,SCA90,Def,GCA,GCA90,Def
Alisson\Alisson,GK,25,51.0,5,0.10,0,2,0.04,0
Virgil van Dijk\Virgil-van-Dijk,DF,27,49.6,37,0.75,2,9,0.18,0
Mohamed Salah\Mohamed-Salah,FW,26,48.1,201,4.20,3,24,0.50,0
Sadio Mané\Sadio-Mane,FW,26,47.7,152,3.24,2,22,0.47,0
Andrew Robertson\Andrew-Robertson,DF,24,46.9,105,2.24,0,23,0.49,0
Georginio Wijnaldum\Georginio-Wijnaldum,MF,27,41.0,67,1.63,3,10,0.24,1
Trent Alexander-Arnold\Trent-Alexander-Arnold,DF,19,37.6,117,3.11,2,23,0.61,1
Roberto Firmino\Roberto-Firmino,FWMF,26,37.2,117,3.18,3,16,0.44,0
Fabinho\Fabinho,MF,24,32.5,48,1.57,2,6,0.20,0
James Milner\James-Milner,MFDF,32,31.5,109,3.65,1,12,0.40,0
Jordan Henderson\Jordan-Henderson,MF,28,31.3,64,2.07,1,10,0.32,0
Joël Matip\Joel-Matip,DF,26,26.1,18,0.72,1,3,0.12,1
Naby Keïta\Naby-Keita,MF,23,20.1,46,2.54,2,6,0.33,1
Joe Gomez\Joe-Gomez,DF,21,17.7,19,1.08,1,2,0.11,0
Xherdan Shaqiri\Xherdan-Shaqiri,FWMF,26,15.8,41,2.98,0,14,1.02,0
Dejan Lovren\Dejan-Lovren,DF,29,14.0,5,0.39,0,1,0.08,0
Daniel Sturridge\Daniel-Sturridge,FWMF,28,9.8,22,2.75,0,4,0.50,0
Divock Origi\Divock-Origi,FW,23,7.6,10,1.52,0,2,0.30,0
Adam Lallana\Adam-Lallana,MFFW,30,6.4,22,3.46,0,2,0.31,0
Alberto Moreno\Alberto-Moreno,DF,26,3.8,6,3.31,0,0,0.00,0
Nathaniel Clyne\Nathaniel-Clyne,DF,27,2.2,0,0.00,0,0,0.00,0
Simon Mignolet\Simon-Mignolet,GK,30,2.0,,,,,,
Rafael Camacho\Rafael-Camacho,DF,18,1.0,0,0.00,0,0,0.00,0
Ki-Jana Hoever\Ki-Jana-Hoever,DF,16,0.9,,,,,,
Curtis Jones\Curtis-Jones,MF,17,0.8,,,,,,
Alex Oxlade-Chamberlain\Alex-Oxlade-Chamberlain,MFFW,24,0.2,3,12.86,0,0,0.00,0
