labels,2019/2020,2018/2019,2017/2018,2016/2017,2015/2016,2014/2015,2013/2014,2012/2013
Goals ,61,67,74,86,69,58,55,66
Goals per match ,1.61,1.76,1.95,2.26,1.82,1.53,1.45,1.74
Shots ,444,537,623,669,659,527,588,681
Shots on target ,160,189,216,257,252,171,192,241
Shooting accuracy % ,36,35,35,38,38,32,33,35
Penalties scored ,3,4,2,7,5,3,5,0
Big Chances Created ,48,64,76,53,64,51,68,50
Hit woodwork ,7,13,13,22,19,11,12,17
Passes ,18644,21295,21660,20150,18649,19322,17933,16647
Passes per match ,490.63,560.39,570.00,530.26,490.76,508.47,471.92,438.08
Pass accuracy % ,81,83,84,82,80,81,82,83
Crosses ,641,643,825,761,738,742,849,884
Cross accuracy % ,17,26,20,20,21,20,20,21
Clean sheets ,8,13,16,17,13,9,14,9
Goals Conceded ,47,39,36,26,35,53,51,46
Goals conceded per match ,1.24,1.03,0.95,0.68,0.92,1.39,1.34,1.21
Saves ,140,121,93,85,89,119,106,0
Tackles ,665,626,618,661,805,815,750,745
Tackle success % ,62,60,65,75,77,80,79,76
Blocked shots ,126,142,182,183,180,153,168,193
Interceptions ,381,326,380,314,645,674,560,721
Clearances ,841,770,825,1003,1046,1047,974,1595
Headed Clearance ,433,411,422,515,502,636,585,468
Aerial Battles/Duels Won ,2830,2566,2673,2696,2619,2809,2671,2551
Errors leading to goal ,8,6,9,7,6,11,21,8
Own goals ,2,3,1,1,3,2,3,1
Yellow cards ,82,56,50,62,72,79,66,55
Red cards ,3,3,2,0,0,4,4,2
Fouls ,262,225,217,238,236,218,138,0
Offsides ,66,74,88,74,72,77,64,77
